experiment_id	dataset_name	evaluator_name	strategy_name	selection_strategy	selection_seed	metrics_path	log_path
vlguard	vlguard	raw	topk	topk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_vlguard_topk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_vlguard_topk_qwen2_vl_ablation.log
vlguard	vlguard	raw	firstk	firstk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_vlguard_firstk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_vlguard_firstk_qwen2_vl_ablation.log
vlguard	vlguard	raw	all	all	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_vlguard_all_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_vlguard_all_qwen2_vl_ablation.log
vlguard	vlguard	raw	random_s11	random	11	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_vlguard_random_s11_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_vlguard_random_s11_qwen2_vl_ablation.log
vlguard	vlguard	raw	random_s22	random	22	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_vlguard_random_s22_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_vlguard_random_s22_qwen2_vl_ablation.log
vlguard	vlguard	raw	random_s33	random	33	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_vlguard_random_s33_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_vlguard_random_s33_qwen2_vl_ablation.log
mhalubench_val_v01	mhalubench	raw	topk	topk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_topk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_topk_qwen2_vl_ablation.log
mhalubench_val_v01	mhalubench	raw	firstk	firstk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_firstk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_firstk_qwen2_vl_ablation.log
mhalubench_val_v01	mhalubench	raw	all	all	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_all_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_all_qwen2_vl_ablation.log
mhalubench_val_v01	mhalubench	raw	random_s11	random	11	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_random_s11_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_random_s11_qwen2_vl_ablation.log
mhalubench_val_v01	mhalubench	raw	random_s22	random	22	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_random_s22_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_random_s22_qwen2_vl_ablation.log
mhalubench_val_v01	mhalubench	raw	random_s33	random	33	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_random_s33_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_mhalubench_val_v01_random_s33_qwen2_vl_ablation.log
naturalbench_vqa	naturalbench_vqa	raw	topk	topk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_topk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_topk_qwen2_vl_ablation.log
naturalbench_vqa	naturalbench_vqa	raw	firstk	firstk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_firstk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_firstk_qwen2_vl_ablation.log
naturalbench_vqa	naturalbench_vqa	raw	all	all	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_all_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_all_qwen2_vl_ablation.log
naturalbench_vqa	naturalbench_vqa	raw	random_s11	random	11	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_random_s11_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_random_s11_qwen2_vl_ablation.log
naturalbench_vqa	naturalbench_vqa	raw	random_s22	random	22	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_random_s22_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_random_s22_qwen2_vl_ablation.log
naturalbench_vqa	naturalbench_vqa	raw	random_s33	random	33	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_random_s33_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_naturalbench_vqa_random_s33_qwen2_vl_ablation.log
sugarcrepe	sugarcrepe	pair	topk	topk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_sugarcrepe_topk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_sugarcrepe_topk_qwen2_vl_ablation.log
sugarcrepe	sugarcrepe	pair	firstk	firstk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_sugarcrepe_firstk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_sugarcrepe_firstk_qwen2_vl_ablation.log
sugarcrepe	sugarcrepe	pair	all	all	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_sugarcrepe_all_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_sugarcrepe_all_qwen2_vl_ablation.log
sugarcrepe	sugarcrepe	pair	random_s11	random	11	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_sugarcrepe_random_s11_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_sugarcrepe_random_s11_qwen2_vl_ablation.log
sugarcrepe	sugarcrepe	pair	random_s22	random	22	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_sugarcrepe_random_s22_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_sugarcrepe_random_s22_qwen2_vl_ablation.log
sugarcrepe	sugarcrepe	pair	random_s33	random	33	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_sugarcrepe_random_s33_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_sugarcrepe_random_s33_qwen2_vl_ablation.log
eurosat	eurosat	raw	topk	topk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_eurosat_topk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_eurosat_topk_qwen2_vl_ablation.log
eurosat	eurosat	raw	firstk	firstk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_eurosat_firstk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_eurosat_firstk_qwen2_vl_ablation.log
eurosat	eurosat	raw	all	all	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_eurosat_all_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_eurosat_all_qwen2_vl_ablation.log
eurosat	eurosat	raw	random_s11	random	11	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_eurosat_random_s11_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_eurosat_random_s11_qwen2_vl_ablation.log
eurosat	eurosat	raw	random_s22	random	22	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_eurosat_random_s22_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_eurosat_random_s22_qwen2_vl_ablation.log
eurosat	eurosat	raw	random_s33	random	33	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_eurosat_random_s33_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_eurosat_random_s33_qwen2_vl_ablation.log
tinyimage	tinyimage	raw	topk	topk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_tinyimage_topk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_tinyimage_topk_qwen2_vl_ablation.log
tinyimage	tinyimage	raw	firstk	firstk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_tinyimage_firstk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_tinyimage_firstk_qwen2_vl_ablation.log
tinyimage	tinyimage	raw	all	all	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_tinyimage_all_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_tinyimage_all_qwen2_vl_ablation.log
tinyimage	tinyimage	raw	random_s11	random	11	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_tinyimage_random_s11_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_tinyimage_random_s11_qwen2_vl_ablation.log
tinyimage	tinyimage	raw	random_s22	random	22	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_tinyimage_random_s22_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_tinyimage_random_s22_qwen2_vl_ablation.log
tinyimage	tinyimage	raw	random_s33	random	33	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_tinyimage_random_s33_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_tinyimage_random_s33_qwen2_vl_ablation.log
blink_art_style	blink_art_style	raw	topk	topk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_art_style_topk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_art_style_topk_qwen2_vl_ablation.log
blink_art_style	blink_art_style	raw	firstk	firstk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_art_style_firstk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_art_style_firstk_qwen2_vl_ablation.log
blink_art_style	blink_art_style	raw	all	all	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_art_style_all_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_art_style_all_qwen2_vl_ablation.log
blink_art_style	blink_art_style	raw	random_s11	random	11	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_art_style_random_s11_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_art_style_random_s11_qwen2_vl_ablation.log
blink_art_style	blink_art_style	raw	random_s22	random	22	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_art_style_random_s22_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_art_style_random_s22_qwen2_vl_ablation.log
blink_art_style	blink_art_style	raw	random_s33	random	33	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_art_style_random_s33_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_art_style_random_s33_qwen2_vl_ablation.log
blink_semantic_correspondence	blink_semantic_correspondence	raw	topk	topk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_topk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_topk_qwen2_vl_ablation.log
blink_semantic_correspondence	blink_semantic_correspondence	raw	firstk	firstk	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_firstk_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_firstk_qwen2_vl_ablation.log
blink_semantic_correspondence	blink_semantic_correspondence	raw	all	all	42	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_all_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_all_qwen2_vl_ablation.log
blink_semantic_correspondence	blink_semantic_correspondence	raw	random_s11	random	11	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_random_s11_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_random_s11_qwen2_vl_ablation.log
blink_semantic_correspondence	blink_semantic_correspondence	raw	random_s22	random	22	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_random_s22_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_random_s22_qwen2_vl_ablation.log
blink_semantic_correspondence	blink_semantic_correspondence	raw	random_s33	random	33	/root/autodl-tmp/FGVC/swap/outputs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_random_s33_qwen2_vl_ablation.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_035047_sav_head_ablation/sav_blink_semantic_correspondence_random_s33_qwen2_vl_ablation.log
